company,deal_name,asset_type,filing_date,cutoff_date,issuing_entity_cik,registration_number,depositor,sponsor_servicer,aggregate_principal_amount,total_principal_balance,number_of_receivables,avg_principal_balance,wa_apr,wa_fico,wa_original_term,wa_remaining_term,aggregate_securitization_value,aggregate_residual_value,total_trust_receivables,number_of_accounts,number_of_loans,number_of_properties,wa_ltv,wa_dscr,first_payment_date,credit_enhancement_types,filename
BRIDGECREST,Bridgecrest Lending Auto Securitization Trust 2026-1,auto_loans_subprime,2026-01-14,,,333-271899,Bridgecrest Auto Funding LLC,to the receivables. The princ,$512834000,,29036,,21.76,,71,69,,,,,,,,,"March 30, 2027",,Bridgecrest_Auto_Funding_LLC_2026-01-14_424H_clean.txt
BRIDGECREST,Bridgecrest Lending Auto Securitization Trust 2026-2,auto_loans_subprime,2026-04-13,,,333-271899,Bridgecrest Auto Funding LLC,respect to the receivables. The princ,$504180000,$659935929.70,30039,,21.44,,71,68,,,,,,,,,"March 30, 2027",,Bridgecrest_Auto_Funding_LLC_2026-04-13_424H_clean.txt
BRIDGECREST,Bridgecrest Lending Auto Securitization Trust 2026-3,auto_loans_subprime,2026-07-15,,,333-271899,Funding LLC,,$548530000,$710091897.48,29933,,21.64,,71,69,,,,,,,,,"March 30, 2027",,Bridgecrest_Auto_Funding_LLC_2026-07-15_424H_clean.txt
FORD,Owner Trust 2024-A,auto_loans,2024-03-11,,0002014176,333-258040,Ford Credit Auto Receivables Two LLC,,$1289450000,$1315750000,38854,$45773.36,4.80,732,51.25,41.31,,,,,,,,,"April 15, 2024","reserve account, overcollateralization, subordination, excess interest/spread",FORD_CREDIT_AUTO_RECEIVABLES_TWO_LLC_2024-03-11_424H_clean.txt
FORD,Credit Auto Owner Trust 2024-B,auto_loans,2024-06-13,,0002023756,333-258040,Ford Credit Auto Receivables Two LLC,,$1547370000,$1578940000,45774,$46931.54,4.65,734,55.60,46.25,,,,,,,,,"July 15, 2024",,FORD_CREDIT_AUTO_RECEIVABLES_TWO_LLC_2024-06-13_424H_clean.txt
FORD,Owner Trust 2024-C,auto_loans,2024-09-12,,0002033921,333-258040,Ford Credit Auto Receivables Two LLC,,$1289480000,$1315790000,35802,$47899.84,4.74,736,55.85,47.06,,,,,,,,,"October 15, 2024","reserve account, overcollateralization, subordination, excess interest/spread",FORD_CREDIT_AUTO_RECEIVABLES_TWO_LLC_2024-09-12_424H_clean.txt
FORD,Owner Trust 2024-D,auto_loans,2024-11-14,,0002042453,333-258040,Auto Receivables Two LLC,,$1289480000,$1315790000,34848,$48620.17,4.80,733,55.73,46.70,,,,,,,,,"December 16, 2024","reserve account, overcollateralization, subordination, excess interest/spread",FORD_CREDIT_AUTO_RECEIVABLES_TWO_LLC_2024-11-14_424H_clean.txt
FORD,Owner Trust 2025-A,auto_loans,2025-03-13,,0002057342,333-281130,Auto Receivables Two LLC,,$1289480000,$1315790000,38106,$48685.49,4.80,734,53.09,37.85,,,,,,,,,"April 15, 2025","reserve account, overcollateralization, subordination, excess interest/spread",FORD_CREDIT_AUTO_RECEIVABLES_TWO_LLC_2025-03-13_424H_clean.txt
FORD,Owner Trust 2025-B,auto_loans,2025-09-18,,0002082903,333-281130,Auto Receivables Two LLC,,$1289480000,$1315790000,43920,$49674.35,5.21,731,56.95,38.32,,,,,,,,,"October 15, 2025","reserve account, overcollateralization, subordination, excess interest/spread",FORD_CREDIT_AUTO_RECEIVABLES_TWO_LLC_2025-09-18_424H_clean.txt
FORD,Owner Trust 2025-C,auto_loans,2025-11-13,,0002092555,333-281130,Ford Credit Auto Receivables Two LLC,,$1031580000,$1096614974.63,29520,$49942.14,5.15,731,56.44,36.97,,,,,,,,,"December 15, 2025","reserve account, overcollateralization, subordination, excess interest/spread",FORD_CREDIT_AUTO_RECEIVABLES_TWO_LLC_2025-11-13_424H_clean.txt
